BW,traffic_load,airtime,selected_mcs,txgain,pm_power
50,24,1.0,23,74,13.056310000000002
50,24,0.9,23,74,13.105499999999996
50,24,0.8,23,74,12.64807
50,24,0.7,23,74,11.71501
50,24,0.6,23,74,12.58539
50,24,0.5,23,74,12.1378
50,24,0.4,23,74,11.8181
50,24,0.3,23,74,11.09311
50,24,0.2,23,74,10.5192
50,24,0.1,23,74,11.17047
50,24,0.0,23,74,10.40738
50,24,1.0,23,73,13.20597
50,24,0.9,23,73,12.72297
50,24,0.8,23,73,13.171849999999996
50,24,0.7,23,73,11.785499999999995
50,24,0.6,23,73,11.89113
50,24,0.5,23,73,12.50147
50,24,0.4,23,73,11.682000000000002
50,24,0.3,23,73,11.52512
50,24,0.2,23,73,10.925809999999998
50,24,0.1,23,73,10.50844
50,24,0.0,23,73,10.531300000000003
50,24,1.0,23,72,13.120180000000005
50,24,0.9,23,72,12.988790000000002
50,24,0.8,23,72,12.85825
50,24,0.7,23,72,11.947070000000002
50,24,0.6,23,72,12.66332
50,24,0.5,23,72,11.327679999999996
50,24,0.4,23,72,11.82213
50,24,0.3,23,72,11.7246
50,24,0.2,23,72,10.50969
50,24,0.1,23,72,11.490480000000002
50,24,0.0,23,72,10.66923
50,24,1.0,23,71,13.18059
50,24,0.9,23,71,13.0105
50,24,0.8,23,71,12.839660000000002
50,24,0.7,23,71,12.24153
50,24,0.6,23,71,11.831270000000002
50,24,0.5,23,71,12.25852
50,24,0.4,23,71,11.804339999999998
50,24,0.3,23,71,11.00666
50,24,0.2,23,71,10.85617
50,24,0.1,23,71,11.053449999999998
50,24,0.0,23,71,10.43092
50,24,1.0,23,70,13.34785
50,24,0.9,23,70,13.20173
50,24,0.8,23,70,12.551190000000002
50,24,0.7,23,70,11.87026
50,24,0.6,23,70,12.21195
50,24,0.5,23,70,12.18667
50,24,0.4,23,70,11.561839999999997
50,24,0.3,23,70,11.57371
50,24,0.2,23,70,10.581300000000004
50,24,0.1,23,70,10.91565
50,24,0.0,23,70,10.73445
50,24,1.0,23,69,13.164280000000003
50,24,0.9,23,69,13.15085
50,24,0.8,23,69,12.538340000000003
50,24,0.7,23,69,12.23845
50,24,0.6,23,69,12.274310000000003
50,24,0.5,23,69,11.450830000000002
50,24,0.4,23,69,11.78043
50,24,0.3,23,69,11.418359999999998
50,24,0.2,23,69,12.23729
50,24,0.1,23,69,11.166169999999996
50,24,0.0,23,69,10.739319999999996
50,24,1.0,23,68,12.99505
50,24,0.9,23,68,13.282220000000002
50,24,0.8,23,68,12.332859999999997
50,24,0.7,23,68,11.87383
50,24,0.6,23,68,12.666750000000004
50,24,0.5,23,68,12.000039999999998
50,24,0.4,23,68,12.02018
50,24,0.3,23,68,11.07293
50,24,0.2,23,68,10.61609
50,24,0.1,23,68,10.98476
50,24,0.0,23,68,10.917269999999998
50,24,1.0,23,67,12.958720000000003
50,24,0.9,23,67,13.131750000000002
50,24,0.8,23,67,13.032219999999995
50,24,0.7,23,67,12.1437
50,24,0.6,23,67,12.021349999999998
50,24,0.5,23,67,11.83433
50,24,0.4,23,67,11.863839999999998
50,24,0.3,23,67,11.1731
50,24,0.2,23,67,10.65865
50,24,0.1,23,67,10.84083
50,24,0.0,23,67,10.46033
50,24,1.0,23,66,13.118149999999998
50,24,0.9,23,66,12.942009999999998
50,24,0.8,23,66,12.871300000000002
50,24,0.7,23,66,11.90932
50,24,0.6,23,66,12.584130000000002
50,24,0.5,23,66,11.44885
50,24,0.4,23,66,11.89616
50,24,0.3,23,66,11.604899999999995
50,24,0.2,23,66,10.56038
50,24,0.1,23,66,11.40582
50,24,0.0,23,66,10.62865
50,24,1.0,23,65,13.34184
50,24,0.9,23,65,13.018440000000004
50,24,0.8,23,65,13.1062
50,24,0.7,23,65,12.02703
50,24,0.6,23,65,11.782739999999997
50,24,0.5,23,65,12.58782
50,24,0.4,23,65,11.887709999999997
50,24,0.3,23,65,11.17687
50,24,0.2,23,65,10.52052
50,24,0.1,23,65,10.59699
50,24,0.0,23,65,10.699540000000002
50,24,1.0,23,64,13.043189999999996
50,24,0.9,23,64,13.113359999999998
50,24,0.8,23,64,12.67333
50,24,0.7,23,64,12.32797
50,24,0.6,23,64,11.844660000000005
50,24,0.5,23,64,12.12571
50,24,0.4,23,64,11.786930000000002
50,24,0.3,23,64,10.84567
50,24,0.2,23,64,10.82959
50,24,0.1,23,64,10.852220000000004
50,24,0.0,23,64,10.596699999999998
50,24,1.0,23,63,12.9286
50,24,0.9,23,63,13.30136
50,24,0.8,23,63,12.322430000000002
50,24,0.7,23,63,11.941670000000002
50,24,0.6,23,63,12.55062
50,24,0.5,23,63,11.762250000000003
50,24,0.4,23,63,11.712089999999998
50,24,0.3,23,63,11.325899999999995
50,24,0.2,23,63,10.64451
50,24,0.1,23,63,10.98742
50,24,0.0,23,63,10.808600000000002
50,24,1.0,23,62,13.22013
50,24,0.9,23,62,13.314100000000002
50,24,0.8,23,62,12.67297
50,24,0.7,23,62,12.091209999999997
50,24,0.6,23,62,12.01266
50,24,0.5,23,62,11.60808
50,24,0.4,23,62,12.073979999999995
50,24,0.3,23,62,11.2727
50,24,0.2,23,62,10.855709999999998
50,24,0.1,23,62,11.007370000000002
50,24,0.0,23,62,10.599469999999998
50,24,1.0,23,61,12.94916
50,24,0.9,23,61,13.13453
50,24,0.8,23,61,12.7269
50,24,0.7,23,61,12.25543
50,24,0.6,23,61,12.168949999999995
50,24,0.5,23,61,12.10213
50,24,0.4,23,61,11.848159999999998
50,24,0.3,23,61,10.9844
50,24,0.2,23,61,10.965099999999996
50,24,0.1,23,61,11.096050000000002
50,24,0.0,23,61,10.51411
50,24,1.0,23,60,13.324979999999998
50,24,0.9,23,60,12.861660000000002
50,24,0.8,23,60,12.52365
