airtime,selected_mcs,txgain,pm_power
1.0,0,74,13.6480146666667
1.0,5,74,13.2931213333333
1.0,9,74,13.384308
1.0,14,74,13.9232186666667
1.0,18,74,14.1500906666667
1.0,23,74,14.504804
1.0,0,74,13.173232
1.0,5,74,13.2678306666667
1.0,9,74,13.3887693333333
1.0,14,74,13.9040533333333
1.0,18,74,13.9801266666667
1.0,23,74,14.663716
1.0,0,74,13.1339133333333
1.0,5,74,13.1719333333333
1.0,9,74,13.4984106666667
1.0,14,74,13.8979533333333
1.0,18,74,13.9760426666667
1.0,23,74,14.65706
1.0,0,74,13.1581893333333
1.0,5,74,13.2530653333333
1.0,9,74,13.442608
1.0,14,74,13.9011066666667
1.0,18,74,14.0423613333333
1.0,23,74,14.6187773333333
1.0,0,74,13.2004
1.0,5,74,13.2525
1.0,9,74,13.3890666666667
1.0,14,74,13.9189093333333
1.0,18,74,14.169468
1.0,23,74,14.6609626666667
1.0,0,74,13.0903306666667
1.0,5,74,13.3076773333333
1.0,9,74,13.4387946666667
1.0,14,74,13.888648
1.0,18,74,14.0756306666667
1.0,23,74,14.6988906666667
1.0,0,73,12.9196853333333
1.0,5,73,13.3411466666667
1.0,9,73,13.4525013333333
1.0,14,73,13.7096813333333
1.0,18,73,14.0603
1.0,23,73,14.5938626666667
1.0,0,73,13.077936
1.0,5,73,13.2432693333333
1.0,9,73,13.4494253333333
1.0,14,73,13.7374533333333
1.0,18,73,14.0955786666667
1.0,23,73,14.5743773333333
1.0,0,73,12.9971586666667
1.0,5,73,13.3180773333333
1.0,9,73,13.4736266666667
1.0,14,73,13.720812
1.0,18,73,14.0408786666667
1.0,23,73,14.5694293333333
1.0,0,73,13.12752
1.0,5,73,13.182124
1.0,9,73,13.4695293333333
1.0,14,73,13.8283333333333
1.0,18,73,14.0484426666667
1.0,23,73,14.5167146666667
1.0,0,73,13.099596
1.0,5,73,13.234836
1.0,9,73,13.3055186666667
1.0,14,73,13.836472
1.0,18,73,14.0859653333333
1.0,23,73,14.5532973333333
1.0,0,73,13.084944
1.0,5,73,13.173152
1.0,9,73,13.4829773333333
1.0,14,73,13.872388
1.0,18,73,14.02676
1.0,23,73,14.6119266666667
1.0,0,68,12.9834373333333
1.0,5,68,13.2843826666667
1.0,9,68,14.0923106666667
1.0,14,68,14.2564013333333
1.0,18,68,14.0371866666667
1.0,23,68,14.5650213333333
1.0,0,68,13.0292773333333
1.0,5,68,14.1233866666667
1.0,9,68,13.4735946666667
1.0,14,68,14.7461773333333
1.0,18,68,14.057348
1.0,23,68,14.5535746666667
1.0,0,68,13.0388546666667
1.0,5,68,14.1325906666667
1.0,9,68,13.4273026666667
1.0,14,68,13.7537533333333
1.0,18,68,14.4028466666667
